anzsic06,nzsioc13,nzsioc13_desc,nzsioc13_gp,nzsioc13_gp_desc
D264,DD111,Electricity generation and on-selling,DD1_,Elec_Gas_Water
D270,DD113,Gas supply,DD1_,Elec_Gas_Water
D281,DD12_,Water Sewerage Drainage,DD1_,Elec_Gas_Water
D291,DD123,"Waste collection, treatment and disposal services",DD1_,Elec_Gas_Water
D292,DD123,"Waste collection, treatment and disposal services",DD1_,Elec_Gas_Water
E301,EE110,Residential building construction,EE110,Residential building construction
E302,EE113,Non-residential building construction,EE113,Non-residential building construction
E310,EE121,Heavy and civil engineering construction,EE1_,Construct
E321,EE131,Construction services,EE1_,Construct
E322,EE131,Construction services,EE1_,Construct
E323,EE131,Construction services,EE1_,Construct
E324,EE131,Construction services,EE1_,Construct
E329,EE131,Construction services,EE1_,Construct
F331,FF111,Basic material wholesaling,FF111,Basic material wholesaling
F332,FF111,Basic material wholesaling,FF111,Basic material wholesaling
F333,FF111,Basic material wholesaling,FF111,Basic material wholesaling
F341,FF112,Machinery and equipment wholesaling,FF11_,Oth_Wholesale
F349,FF112,Machinery and equipment wholesaling,FF11_,Oth_Wholesale
F350,FF113,Motor vehicle and motor vehicle parts wholesaling,FF11_,Oth_Wholesale
F360,FF114,"Grocery, liquor and tobacco product wholesaling",FF114,"Grocery, liquor and tobacco product wholesaling"
F371,FF110,Other goods and commission based wholesaling,FF110,Other goods and commission based wholesaling
F372,FF110,Other goods and commission based wholesaling,FF110,Other goods and commission based wholesaling
F373,FF110,Other goods and commission based wholesaling,FF110,Other goods and commission based wholesaling
F380,FF110,Other goods and commission based wholesaling,FF110,Other goods and commission based wholesaling
G391,GH111,Motor vehicle and parts retailing,GH111,Motor vehicle and parts retailing
G392,GH111,Motor vehicle and parts retailing,GH111,Motor vehicle and parts retailing
G400,GH112,Fuel retailing,GH112,Fuel retailing
G411,GH121,Supermarket and grocery stores,GH121,Supermarket and grocery stores
G412,GH122,Specialised food retailing,GH122,Specialised food retailing
G421,GH131,"Furniture, electrical and hardware retailing",GH131,"Furniture, electrical and hardware retailing"
G422,GH131,"Furniture, electrical and hardware retailing",GH131,"Furniture, electrical and hardware retailing"
G423,GH131,"Furniture, electrical and hardware retailing",GH131,"Furniture, electrical and hardware retailing"
G424,GH132,"Recreational, clothing, footwear and personal accessory retailing",GH132,"Recreational, clothing, footwear and personal accessory retailing"
G425,GH132,"Recreational, clothing, footwear and personal accessory retailing",GH132,"Recreational, clothing, footwear and personal accessory retailing"
G426,GH133,Department stores,GH133,Department stores
G427,GH130,Other store based retailing; non store and commission based wholesaling,GH130,Other store based retailing; non store and commission based wholesaling
G431,GH130,Other store based retailing; non store and commission based wholesaling,GH130,Other store based retailing; non store and commission based wholesaling
G432,GH130,Other store based retailing; non store and commission based wholesaling,GH130,Other store based retailing; non store and commission based wholesaling
H440,GH211,Accommodation,GH21_,Accom_Food_Bev
H451,GH212,Food and beverage services,GH21_,Accom_Food_Bev
H452,GH212,Food and beverage services,GH21_,Accom_Food_Bev
H453,GH212,Food and beverage services,GH21_,Accom_Food_Bev
I461,II111,Road transport,II111,Road transport
I462,II111,Road transport,II111,Road transport
I471,II121,Rail transport,II121,Rail transport
I472,II121,Rail transport,II121,Rail transport
I481,II120,Other transport,II120,Other transport
I482,II120,Other transport,II120,Other transport
I490,II123,Air and space transport,II123,Air and space transport
I501,II120,Other transport,II120,Other transport
I502,II120,Other transport,II120,Other transport
I510,II131,Postal and courier pick up and delivery services,II13_,Transp_Support
I521,II132,Transport support services,II13_,Transp_Support
I522,II132,Transport support services,II13_,Transp_Support
I529,II132,Transport support services,II13_,Transp_Support
I530,II133,Warehousing and storage services,II13_,Transp_Support
J541,JJ111,Publishing (except internet and music publishing),JJ11_,Publicat_Broadc
J542,JJ111,Publishing (except internet and music publishing),JJ11_,Publicat_Broadc
J551,JJ112,Motion picture and sound recording activities,JJ11_,Publicat_Broadc
J552,JJ112,Motion picture and sound recording activities,JJ11_,Publicat_Broadc
J561,JJ113,Broadcasting and internet publishing,JJ11_,Publicat_Broadc
J562,JJ113,Broadcasting and internet publishing,JJ11_,Publicat_Broadc
J570,JJ113,Broadcasting and internet publishing,JJ11_,Publicat_Broadc
J580,JJ120,Telecommunications services including internet service providers,JJ120,Telecommunications services including internet service providers
J591,JJ120,Telecommunications services including internet service providers,JJ120,Telecommunications services including internet service providers
J592,JJ120,Telecommunications services including internet service providers,JJ120,Telecommunications services including internet service providers
J601,JJ123,Library and other information services,JJ123,Library and other information services
J602,JJ123,Library and other information services,JJ123,Library and other information services
K621,KK110,Banking and financing; financial asset investing,KK110,Banking and financing; financial asset investing
K622,KK110,Banking and financing; financial asset investing,KK110,Banking and financing; financial asset investing
K623,KK110,Banking and financing; financial asset investing,KK110,Banking and financing; financial asset investing
K624,KK110,Banking and financing; financial asset investing,KK110,Banking and financing; financial asset investing
K631,KK121,Life insurance,KK1_,Insur_FinServ
K632,KK122,Health and general insurance,KK1_,Insur_FinServ
K633,KK123,Superannuation funds,KK1_,Insur_FinServ
K641,KK131,Auxiliary finance and insurance services,KK1_,Insur_FinServ
K642,KK131,Auxiliary finance and insurance services,KK1_,Insur_FinServ
L661,LL110,Rental and hiring services (except real estate); non-financial asset leasing,LL110,Rental and hiring services (except real estate); non-financial asset leasing
L662,LL110,Rental and hiring services (except real estate); non-financial asset leasing,LL110,Rental and hiring services (except real estate); non-financial asset leasing
L663,LL110,Rental and hiring services (except real estate); non-financial asset leasing,LL110,Rental and hiring services (except real estate); non-financial asset leasing
L664,LL110,Rental and hiring services (except real estate); non-financial asset leasing,LL110,Rental and hiring services (except real estate); non-financial asset leasing
L671,LL12_,Property Operation,LL12_,Property_RE
L672,LL123,Real estate services,LL12_,Property_RE
M691,MN111,"Scientific, architectural and engineering services",MN11_,Prof_Serv
M692,MN111,"Scientific, architectural and engineering services",MN11_,Prof_Serv
M693,MN112,Legal and accounting services,MN11_,Prof_Serv
M694,MN113,"Advertising, market research and management services",MN11_,Prof_Serv
M695,MN113,"Advertising, market research and management services",MN11_,Prof_Serv
M696,MN113,"Advertising, market research and management services",MN11_,Prof_Serv
M697,MN114,Veterinary and other professional services,MN11_,Prof_Serv
M699,MN114,Veterinary and other professional services,MN11_,Prof_Serv
M700,MN115,Computer system design and related services,MN11_,Prof_Serv
N721,MN212,Employment and other administrative services,MN21_,Support_Serv
N722,MN211,Travel agency and tour arrangement services,MN21_,Support_Serv
