year,sample_supp_emp,sample_unsupp_emp,sample_supp_rate,nat_supp_emp,nat_unsupp_emp,nat_supp_rate
1981,1063506,1079712,1.5009558104383425,1129548,1169256,3.396005665140911
1986,1155735,1171155,1.3166489491143407,1225755,1266735,3.2350886333763595
1991,1064073,1083381,1.782198506342647,1119981,1166229,3.9656019529612063
1996,1191972,1209462,1.446097521046552,1251270,1299777,3.7319478649029847
2001,1280637,1298052,1.341625759214582,1344216,1393902,3.5645260570685733
2006,1472448,1489365,1.1358531991822018,1548099,1599579,3.218346827508989
2013,1503018,1519932,1.1128129416316024,1581534,1632342,3.1125830248808106
