ua,year,ua_complexity,ua_size
1,1981,-0.1554640030686297,15573
1,1986,0.4393797363827645,19218
1,1991,-0.6171701660169984,15195
1,1996,-0.7457137690643583,16266
1,2001,-0.7342893352298341,17067
1,2006,-0.5843197806297102,19398
1,2013,-0.7656080963083896,18012
2,1981,1.7579687572927907,68439
2,1986,1.7404550486619297,80313
2,1991,2.235548000753774,81636
2,1996,1.4808958363910913,94956
2,2001,2.0391153669962483,104640
2,2006,2.0617480460839244,123930
2,2013,2.2673299717801725,131112
3,1981,1.9023113125759157,52749
3,1986,1.8788391534602256,62295
3,1991,2.3880885841859767,61254
3,1996,2.2094219308698797,69789
3,2001,2.2555952107605486,75237
3,2006,2.188319546289422,85851
3,2013,2.3409658210206055,88545
4,1981,1.958087337393953,129429
4,1986,1.956429636954631,136896
4,1991,1.8588862661498367,124854
4,1996,1.5114783663116966,144315
4,2001,1.6931132148484551,160935
4,2006,1.6933697817158482,187641
4,2013,1.8309896439516062,198603
5,1981,1.9826364285903106,91974
5,1986,2.022060087210237,108609
5,1991,2.4557161692447815,99825
5,1996,2.2150013511178925,113184
5,2001,2.4777948177040736,125328
5,2006,2.390833568945881,149748
5,2013,2.2770329710605446,154890
6,1981,-0.18714621882244473,48621
6,1986,0.02610907162466487,52968
6,1991,-0.10901139287511208,49734
6,1996,-0.23683992508590093,56967
6,2001,-0.20970948678579787,61671
6,2006,-0.14500328377727953,72207
6,2013,0.406726567687354,76125
7,1981,-0.9995187644261876,3639
7,1986,-1.0145312692566113,4584
7,1991,-0.9116603886779863,4653
7,1996,-0.866000760086988,5220
7,2001,-0.6820170938697396,5835
7,2006,-0.6815991679353903,6933
7,2013,-0.20105671270231174,8028
8,1981,-0.6127460668439881,4467
8,1986,-0.6014257000786108,4803
8,1991,-0.7331039538998636,4266
8,1996,-0.793418832134808,4914
8,2001,-0.7655960118813988,5277
8,2006,-0.5436127319932534,6186
8,2013,-0.4697371676169652,6123
9,1981,0.42565731435323984,21426
9,1986,0.021919799375235225,26118
9,1991,0.28077162114479387,25488
9,1996,0.7273891385380153,31905
9,2001,0.555995946554783,38481
9,2006,0.28154736646250755,48666
9,2013,-0.17074657543255725,51288
10,1981,0.18160078115523706,19581
10,1986,0.6194604717469236,22263
10,1991,0.02749067405535274,18429
10,1996,-0.35615118581856087,20670
10,2001,-0.08593287501732698,21072
10,2006,-0.39608353873220076,22722
10,2013,-0.6290868632653955,20943
11,1981,-0.7935702718445742,12810
11,1986,-0.9126188661726735,13275
11,1991,-0.9131444818956655,10449
11,1996,0.5956491587695034,11313
11,2001,0.26623051856557434,11595
11,2006,-0.288977310666801,12765
11,2013,-0.4007852716815991,12477
