ua,year,ua_complexity,ua_size
101,1991,0.16622076471359115,5700
101,1996,0.7000821516594444,6294
101,2001,0.6271381159567065,7476
101,2006,2.059450364053315,9687
101,2013,2.1065616162052057,10953
102,1981,1.9697943146261103,7680
102,1986,1.9080697313014656,7551
102,1991,1.912129257892732,5559
102,1996,0.4267947654706505,4758
102,2001,0.6682659837778412,4644
102,2006,-0.5662736878838626,4218
102,2013,-0.48269838837031603,3696
103,1981,-0.4287065346594229,5982
103,1986,-0.3049034520297958,7221
103,1991,-0.21848935313792905,6789
103,1996,-0.27923360901087896,8046
103,2001,-0.008859985075667641,8616
103,2006,0.07121697461089821,9939
103,2013,-1.0575004628562183e-4,9783
104,1981,0.005025540053416083,5466
104,1986,0.59215603891429,6042
104,1991,-0.3033401106745335,5475
104,1996,-0.45182309735912735,6087
104,2001,-0.48645062677495304,6771
104,2006,-0.5191621055970445,7248
104,2013,-0.7604657308941077,6954
105,1981,-0.9581684006014664,4395
105,1986,-0.7875845976352751,4389
105,1991,-0.890622663707007,4062
105,1996,-0.587984526478002,4467
105,2001,-0.3993052138858315,4446
105,2006,-0.19784024420356838,4428
105,2013,-0.07537725201413753,4647
106,1981,-0.8173117821307871,4584
106,1986,-0.9882204790743251,4926
106,1991,-0.7667873443338181,4791
106,1996,-0.8300150117139138,5355
106,2001,-0.95159508165298,5160
106,2006,-0.8834913854124907,5790
106,2013,-0.8148383197591431,6042
107,1981,-0.11362354672947642,6585
107,1986,-0.22983132639663212,7146
107,1991,-0.16161752723631423,6489
107,1996,-0.31686861106945263,6360
107,2001,-0.22200090618080692,6441
107,2006,-0.42854588917919595,6732
107,2013,-0.6262041737801803,6363
109,1981,-0.9064505774714836,7881
109,1986,-0.981715160815872,7914
109,1991,-0.6574566695902815,6672
109,1996,-0.7179317808286447,7197
109,2001,-0.7981074863252982,7470
109,2006,-0.6685891977100161,8208
109,2013,-0.7574619883100259,8262
111,1981,0.1244259618437644,4524
111,1986,-0.40724214558103894,4650
111,1991,-0.8593020824074449,3672
111,1996,-1.047109473079781,3876
111,2001,-1.0721488695168822,3834
111,2006,-1.015042265899351,4431
111,2013,-1.0726966059651821,4071
112,1981,-0.9793969968078801,5844
112,1986,-1.105466263669988,6210
112,1991,-0.5799462120336035,5784
112,1996,-0.5167175595141394,6432
112,2001,-0.4547553593849729,6951
112,2006,-0.32901732965839553,7863
112,2013,-0.13852866357473065,8652
113,1981,-0.5757726326408255,11676
113,1986,-0.6305230101678562,11991
113,1991,-0.7190239582587403,10101
113,1996,-0.36990154051899893,10770
113,2001,-0.2513778326768293,10884
113,2006,-0.26901002483839415,12096
113,2013,-0.4380167427401315,12267
114,1981,-1.011886441153674,5319
114,1986,-1.062112776600101,5226
114,1991,-0.8834778427847196,4575
114,1996,-0.4220317589716326,4749
114,2001,-0.679267516437369,4644
114,2006,-0.6227375753299241,5094
114,2013,-0.6364255629947799,5040
116,1981,-0.957003757224092,2544
116,1986,-0.9316526138852101,3018
116,1991,-0.8396692997501441,2997
116,1996,-0.8409441502990224,3906
116,2001,-0.7888829156163352,4413
116,2006,-0.6486514989336888,5022
116,2013,-0.5497312382928111,6555
117,1981,-0.7194938922799846,1434
117,1986,-0.5409050260194068,2178
117,1991,-0.16773958428006128,2589
117,1996,-0.4967930164508369,4188
117,2001,0.11947558368313034,4848
117,2006,0.17891601606162377,6159
117,2013,0.2856285329267415,6705
217,1981,-0.04406613905983203,2253
217,1986,0.7691526936317257,2541
217,1991,-0.5695681377790027,1551
217,1996,-0.9590611642629913,1419
217,2001,-0.9991321543450941,1644
217,2006,-0.9506025643297201,1746
217,2013,-0.9718211668616642,1611
226,1981,-0.42386976242125135,2316
226,1986,-0.6171267873384642,2289
226,1991,-0.7180252209781641,2175
226,1996,-1.302272360174538,2346
226,2001,-1.3050399263358805,2253
226,2006,-1.2703406331206857,2316
226,2013,-1.0780433478960911,2094
231,1981,-0.7892015927599731,1740
231,1986,-0.578218791075069,1989
231,1991,-0.7172114096561971,1833
231,1996,-0.6805815724202752,1965
231,2001,-0.7873408026083835,2145
231,2006,-0.6836842817974669,2421
231,2013,-0.7425804487640033,2571
232,1981,-1.0634102676547865,1674
232,1986,-0.8881676650358601,1971
232,1991,-1.0017887878823997,1818
232,1996,-1.1256567468765581,1953
232,2001,-1.0751151249238666,2145
232,2006,-0.9285526471631554,2202
232,2013,-0.8725397622192373,2436
235,1981,-0.7280609315512027,1773
235,1986,-0.8040106730192983,2106
235,1991,-0.6036724735547218,1623
235,1996,-0.35042615102200825,1686
235,2001,-0.46313592146482385,1968
235,2006,-0.413714258488948,2409
235,2013,-0.29983747233390584,2334
245,1981,-0.8539295854058557,1878
245,1986,-1.1708755729037494,2025
245,1991,-1.153411698366977,1770
245,1996,-0.8115066945844763,1656
245,2001,-0.9866352300285011,1689
245,2006,-0.8468957675861724,1845
245,2013,-1.0182596463741596,1515
249,1981,-0.8627620546899127,1884
249,1986,-0.751843165017533,1905
249,1991,-1.0773558940525119,1443
249,1996,-1.1500887654449046,1653
249,2001,-1.1384422461085792,1569
249,2006,-1.1110706690765058,1677
249,2013,-0.9728637788867356,1857
273,1981,-0.5344854268722649,1953
273,1986,-0.7070723767928595,2169
273,1991,-0.04653836503726962,2034
273,1996,0.3569659087394357,2223
273,2001,0.5299565325016546,2583
273,2006,0.10238519640749048,2778
273,2013,0.015712613242590174,2694
290,1981,-1.1512933187761976,1830
290,1986,-1.1935986743749825,1716
290,1991,-1.1133778018590685,1467
290,1996,-0.8085063465348297,1521
290,2001,-0.8947536866206891,1563
290,2006,-1.0322247153438397,1542
290,2013,-0.9365758330460988,1473
301,1981,-0.8526783110556182,4878
301,1986,-0.9759052150550687,4566
301,1991,-0.7652782866202984,3909
301,1996,-0.5183621419048926,4248
301,2001,-0.6180842820378492,4140
301,2006,-0.6589896923690937,4182
301,2013,-0.5943294638840876,3933
